Geographic Area Name,Estimate!!Total!!Households,Estimate!!Households receiving food stamps/SNAP!!Households,Estimate!!Households not receiving food stamps/SNAP!!Households
"Ramsey County, Minnesota",218817,25845,192972
"Rice County, Minnesota",23779,2227,21552
"St. Louis County, Minnesota",85576,7840,77736
"Scott County, Minnesota",55327,2676,52651
"Sherburne County, Minnesota",34738,1257,33481
"Stearns County, Minnesota",62168,4857,57311
"Washington County, Minnesota",102421,4940,97481
"Wright County, Minnesota",52260,2172,50088
"DeSoto County, Mississippi",68966,6201,62765
"Forrest County, Mississippi",30600,5208,25392
"Harrison County, Mississippi",81224,10711,70513
"Hinds County, Mississippi",91067,13684,77383
"Jackson County, Mississippi",56984,6254,50730
"Jones County, Mississippi",23506,3704,19802
"Lamar County, Mississippi",25688,2045,23643
"Lauderdale County, Mississippi",28212,4346,23866
"Lee County, Mississippi",32722,4870,27852
"Madison County, Mississippi",42558,3566,38992
"Rankin County, Mississippi",59894,2329,57565
"Boone County, Missouri",75036,5334,69702
"Buchanan County, Missouri",33334,4752,28582
"Cape Girardeau County, Missouri",32800,3074,29726
"Cass County, Missouri",42361,3056,39305
"Christian County, Missouri",34116,2066,32050
"Clay County, Missouri",100737,6292,94445
"Cole County, Missouri",29522,3239,26283
"Franklin County, Missouri",41301,3455,37846
"Greene County, Missouri",130986,12442,118544
"Jackson County, Missouri",302965,30080,272885
"Jasper County, Missouri",47864,6017,41847
"Jefferson County, Missouri",88806,7099,81707
"Platte County, Missouri",43201,2104,41097
"St. Charles County, Missouri",157907,5704,152203
"St. Francois County, Missouri",25030,2828,22202
"St. Louis County, Missouri",412833,36985,375848
"St. Louis city, Missouri",139736,27040,112696
"Cascade County, Montana",34303,3950,30353
"Flathead County, Montana",42900,2175,40725
"Gallatin County, Montana",48796,1228,47568
"Lewis and Clark County, Montana",31208,3337,27871
"Missoula County, Montana",51957,5678,46279
"Yellowstone County, Montana",69001,5946,63055
"Douglas County, Nebraska",236106,25714,210392
"Lancaster County, Nebraska",131417,9810,121607
"Sarpy County, Nebraska",72428,4310,68118
"Clark County, Nevada",854289,122045,732244
"Washoe County, Nevada",198018,23829,174189
"Cheshire County, New Hampshire",28266,1866,26400
"Grafton County, New Hampshire",35199,2160,33039
"Hillsborough County, New Hampshire",167899,9890,158009
"Merrimack County, New Hampshire",58733,4203,54530
"Rockingham County, New Hampshire",127882,5753,122129
"Strafford County, New Hampshire",52067,3001,49066
"Atlantic County, New Jersey",112299,14817,97482
"Bergen County, New Jersey",352030,16784,335246
"Burlington County, New Jersey",175859,9441,166418
"Camden County, New Jersey",201158,25566,175592
"Cape May County, New Jersey",48860,4762,44098
"Cumberland County, New Jersey",53883,8553,45330
"Essex County, New Jersey",322453,45985,276468
"Gloucester County, New Jersey",112502,8241,104261
"Hudson County, New Jersey",292000,41279,250721
"Hunterdon County, New Jersey",51292,1236,50056
"Mercer County, New Jersey",143970,15452,128518
"Middlesex County, New Jersey",307831,24201,283630
"Monmouth County, New Jersey",250738,12741,237997
"Morris County, New Jersey",192847,8120,184727
"Ocean County, New Jersey",240736,17408,223328
"Passaic County, New Jersey",177063,33985,143078
"Salem County, New Jersey",24973,3059,21914
"Somerset County, New Jersey",130939,4553,126386
"Sussex County, New Jersey",58767,1581,57186
"Union County, New Jersey",201392,17060,184332
"Warren County, New Jersey",46353,4709,41644
"Bernalillo County, New Mexico",285185,51937,233248
"Doña Ana County, New Mexico",85021,20953,64068
"Lea County, New Mexico",24390,5121,19269
"McKinley County, New Mexico",20949,8501,12448
"Otero County, New Mexico",24034,5870,18164
"Sandoval County, New Mexico",56655,8720,47935
"San Juan County, New Mexico",40844,11605,29239
"Santa Fe County, New Mexico",70152,8813,61339
"Valencia County, New Mexico",28875,7398,21477
"Albany County, New York",132171,15519,116652
"Bronx County, New York",533004,195476,337528
"Broome County, New York",84452,11231,73221
"Cattaraugus County, New York",32562,5436,27126
"Cayuga County, New York",32392,5996,26396
"Chautauqua County, New York",53309,10270,43039
"Chemung County, New York",35407,5674,29733
"Clinton County, New York",33860,5334,28526
"Dutchess County, New York",118175,9061,109114
"Erie County, New York",412870,69479,343391
"Jefferson County, New York",48628,6018,42610
"Kings County, New York",1001868,222332,779536
"Madison County, New York",25294,2626,22668
"Monroe County, New York",318883,44554,274329
"Nassau County, New York",459452,21917,437535
"New York County, New York",737575,106497,631078
"Niagara County, New York",90975,13206,77769
"Oneida County, New York",93373,14764,78609
"Onondaga County, New York",198132,29026,169106
"Ontario County, New York",47607,3368,44239
"Orange County, New York",137561,13048,124513
"Oswego County, New York",46924,7878,39046
"Putnam County, New York",35166,881,34285
"Queens County, New York",820686,121827,698859
"Rensselaer County, New York",66431,6883,59548
"Richmond County, New York",170762,21746,149016
"Rockland County, New York",102609,11758,90851
"St. Lawrence County, New York",42298,6260,36038
"Saratoga County, New York",100226,8022,92204
"Schenectady County, New York",66910,8098,58812
"Steuben County, New York",39500,4815,34685
"Suffolk County, New York",511951,31554,480397
"Sullivan County, New York",32529,4941,27588
"Tompkins County, New York",44469,2943,41526
"Ulster County, New York",75053,4943,70110
"Warren County, New York",29729,3233,26496
"Wayne County, New York",38634,4897,33737
"Westchester County, New York",371736,33951,337785
"Alamance County, North Carolina",69343,8264,61079
"Brunswick County, North Carolina",65337,6939,58398
"Buncombe County, North Carolina",97345,10580,86765
"Burke County, North Carolina",35709,6215,29494
"Cabarrus County, North Carolina",73486,6961,66525
"Caldwell County, North Carolina",32600,4036,28564
"Carteret County, North Carolina",30589,3314,27275
"Catawba County, North Carolina",64302,9219,55083
"Chatham County, North Carolina",31474,3204,28270
"Cleveland County, North Carolina",40296,7891,32405
"Craven County, North Carolina",42139,5315,36824
"Cumberland County, North Carolina",129898,25287,104611
"Davidson County, North Carolina",66245,9563,56682
"Durham County, North Carolina",138497,14279,124218
"Forsyth County, North Carolina",155985,26480,129505
"Franklin County, North Carolina",26689,4040,22649
"Gaston County, North Carolina",93913,18054,75859
"Guilford County, North Carolina",212574,36021,176553
"Harnett County, North Carolina",49555,7557,41998
"Henderson County, North Carolina",50136,5506,44630
"Iredell County, North Carolina",73434,6076,67358
"Johnston County, North Carolina",82113,14151,67962
"Lincoln County, North Carolina",36361,3909,32452
"Mecklenburg County, North Carolina",458344,42883,415461
"Moore County, North Carolina",43554,4139,39415
"Nash County, North Carolina",38029,6807,31222
"New Hanover County, North Carolina",103762,9368,94394
"Onslow County, North Carolina",73121,8533,64588
"Orange County, North Carolina",56263,2471,53792
"Pitt County, North Carolina",75578,14133,61445
"Randolph County, North Carolina",55948,8749,47199
"Robeson County, North Carolina",43529,14680,28849
"Rockingham County, North Carolina",38481,6978,31503
"Rowan County, North Carolina",57024,10163,46861
"Surry County, North Carolina",30317,5302,25015
"Union County, North Carolina",83407,6538,76869
"Wake County, North Carolina",439911,30524,409387
"Wayne County, North Carolina",46932,11990,34942
"Wilkes County, North Carolina",26770,5377,21393
"Wilson County, North Carolina",32868,6606,26262
"Burleigh County, North Dakota",39295,2387,36908
"Cass County, North Dakota",83761,5207,78554
